trade_no,start_date,cusip,type,quantity,rate
3491358,2025-04-29 07:00:45,912797QK6,REP,33000000,4.390000
3491366,2025-04-29 07:00:47,912797QK6,REP,10000000,4.400000
3491370,2025-04-29 07:00:48,912797NW3,REV,25000000,4.360000
3491372,2025-04-29 07:00:56,912797QJ9,REP,10000000,4.320000
3491374,2025-04-29 07:00:57,912797QF7,REV,25000000,4.430000
3491388,2025-04-29 07:01:31,91282CGE5,REV,25000000,4.000000
3491409,2025-04-29 07:02:15,9128282L3,REV,50000000,4.440000
3491427,2025-04-29 07:02:46,912797NM5,REP,29000000,4.330000
3491433,2025-04-29 07:03:00,912797NM5,REV,50000000,4.330000
3491434,2025-04-29 07:03:04,912810UF3,REP,25000000,4.380000
3491435,2025-04-29 07:03:04,912810UF3,REP,50000000,4.380000
3491436,2025-04-29 07:03:04,912810UF3,REP,50000000,4.380000
3491437,2025-04-29 07:03:04,912810UF3,REP,50000000,4.380000
3491438,2025-04-29 07:03:04,912810UF3,REV,50000000,4.400000
3491439,2025-04-29 07:03:04,912810UF3,REV,50000000,4.400000
3491440,2025-04-29 07:03:04,912810UF3,REV,50000000,4.400000
3491441,2025-04-29 07:03:04,912810UF3,REV,50000000,4.400000
3491442,2025-04-29 07:03:04,912810UF3,REV,50000000,4.400000
3491443,2025-04-29 07:03:04,912810UF3,REV,50000000,4.400000
3491444,2025-04-29 07:03:04,912810UF3,REV,50000000,4.400000
3491448,2025-04-29 07:03:25,912797PG6,REV,17000000,4.230000
3491449,2025-04-29 07:03:27,912810UC0,REP,25000000,4.380000
3491450,2025-04-29 07:03:27,912810UC0,REP,50000000,4.380000
3491451,2025-04-29 07:03:27,912797PG6,REP,15000000,4.220000
3491452,2025-04-29 07:03:27,912810UC0,REV,25000000,4.400000
3491453,2025-04-29 07:03:27,912810UC0,REV,50000000,4.400000
3491457,2025-04-29 07:03:45,912797PV3,REP,15000000,4.420000
3491459,2025-04-29 07:03:54,91282CMW8,REP,30000000,4.410000
3491460,2025-04-29 07:03:55,912828R36,REV,25000000,4.430000
3491463,2025-04-29 07:04:03,912797PN1,REP,11000000,4.210000
3491464,2025-04-29 07:04:06,912797PV3,REV,25000000,4.430000
