order_id,order_timestamp,order_cusip,order_direction,order_size,order_price,order_source,apex_trade_no,apex_timestamp,apex_cusip,apex_type,apex_quantity,apex_rate,apex_shortcode
,2025-04-25 07:15:05.432,912797QH3,Buy,25.000000,4.380000,BTEC_REPO_US,3488659,2025-04-29 07:15:23,912797QH3,REV,25000000,4.380000,BTEC
,2025-04-25 07:15:05.432,912797QH3,Sell,10.000000,4.360000,BTEC_REPO_US,3488639,2025-04-29 07:15:05,912797QH3,REP,10000000,4.360000,BTEC
,2025-04-25 07:24:44.503,91282CGB1,Sell,25.000000,4.330000,BTEC_REPO_US,3488719,2025-04-29 07:25:02,91282CGB1,REP,25000000,4.330000,BTEC
,2025-04-25 07:26:15.039,91282CMU2,Buy,50.000000,4.260000,BTEC_REPO_US,3488760,2025-04-29 07:26:33,91282CMU2,REV,50000000,4.260000,BTEC
,2025-04-25 07:26:15.039,91282CMU2,Sell,33.000000,4.130000,BTEC_REPO_US,3488757,2025-04-29 07:26:15,91282CMU2,REP,33000000,4.130000,BTEC
,2025-04-25 08:00:54.059,91282CJV4,Buy,25.000000,4.390000,BTEC_REPO_US,3488927,2025-04-29 08:01:12,91282CJV4,REV,25000000,4.390000,BTEC
,2025-04-25 08:00:54.059,91282CJV4,Sell,25.000000,4.370000,DEALERWEB_REPO,3488926,2025-04-29 08:01:12,91282CJV4,REP,25000000,4.370000,DEAL
,2025-04-25 08:03:10.114,912828Z37,Buy,40.000000,4.340000,BTEC_REPO_US,3488928,2025-04-29 08:03:10,912828Z37,REV,40000000,4.340000,BTEC
,2025-04-25 08:03:10.114,912828Z37,Sell,25.000000,4.300000,BTEC_REPO_US,3488930,2025-04-29 08:03:28,912828Z37,REP,25000000,4.300000,BTEC
,2025-04-25 08:49:43.989,91282CHN4,Buy,25.000000,4.360000,DEALERWEB_REPO,3489195,2025-04-29 08:50:02,91282CHN4,REV,25000000,4.360000,DEAL
,2025-04-25 08:49:43.989,91282CHN4,Sell,25.000000,4.300000,BTEC_REPO_US,3489196,2025-04-29 08:50:02,91282CHN4,REP,25000000,4.300000,BTEC
,2025-04-25 09:15:37.791,91282CMU2,Buy,50.000000,4.300000,BTEC_REPO_US,3489465,2025-04-29 09:15:55,91282CMU2,REV,50000000,4.300000,BTEC
,2025-04-25 09:15:37.791,91282CMU2,Sell,10.000000,4.250000,DEALERWEB_REPO,3489448,2025-04-29 09:15:37,91282CMU2,REP,10000000,4.250000,DEAL
